Y131B213					
					
	template		 	repeat	
graph	start	end	offset	start	end
88	1.0	4.0	36.11	37.1	40.1
87	2.6	4.0	34.51	37.1	38.5
82	5.0	7.1	62.69	67.7	69.8
81	7.0	11.9	38.99	46.0	50.9
80	10.6	15.4	15.54	26.1	30.9
71	26.3	28.5	58.95	85.3	87.5
72	26.3	28.5	47.94	74.2	76.4
69	36.5	38.5	15.33	51.8	53.8
64	39.6	40.9	29.13	68.7	70.0
63	43.5	45.7	13.85	57.3	59.5
60	48.0	50.5	15.87	63.9	66.4
55	51.3	54.0	122.02	173.3	176.0
57	51.5	54.0	9.87	61.4	63.9
52	52.7	54.8	84.91	137.6	139.7
51	57.0	59.5	4.18	61.2	63.7
48	59.0	61.7	24.86	83.9	86.6
39	104.5	108.0	5.19	109.7	113.2
0	239.4	240.0	3.41	242.8	243.4
